Sr. No.,Academic Year,Month od school onboarding,Region,City,Channel,POC,School Name,School and Program,Program,Grade,Board,Fees Range,Strength Range,Strength,Rev/ student,Sum Product,Total Business,Category,Full year/ mid year
81,25-26,Dec'24,North,Delhi,Pre Sales,Poonam,"Deewan Public School International, Bulandsheher","Deewan Public School International, Bulandsheher-Communication",Communication,,CBSE,30K-60K,Less than 300,100,1500,150000,1.50,New-25-26,Full year
82,25-26,Dec'24,North,Delhi,Pre Sales,Poonam,"Deewan Public School International, Bulandsheher","Deewan Public School International, Bulandsheher-STEM",STEM,,CBSE,30K-60K,Less than 300,100,900,90000,0.90,Renewal 25-26 - Dropped,Full Year
83,25-26,Dec'24,North,Delhi,Pre Sales,Poonam,Deewan Public School - Merrut,Deewan Public School - Merrut-Communication,Communication,,CBSE,30K-60K,301 - 500,500,1500,750000,7.50,New-25-26,Full year
84,25-26,Dec'24,North,Delhi,Pre Sales,Poonam,Deewan Public School - Merrut,Deewan Public School - Merrut-STEM,STEM,,CBSE,30K-60K,Less than 300,300,900,270000,2.70,Renewal 25-26 - Dropped,Full Year
85,25-26,Dec'24,North,Delhi,Direct,Poonam,Shaiffali Public School,Shaiffali Public School-Communication,Communication,,CBSE,30K-60K,301 - 500,350,1900,665000,6.65,New-25-26,Full year
86,25-26,Jan'25,West,Mumbai,Direct,Ashish Mane,Gurukul International School,Gurukul International School-Communication,Communication,,CBSE,60K-90K,301 - 500,350,1400,490000,4.90,New-25-26,Full year
87,25-26,Jan'25,West,Mumbai,Direct,Ashish Mane,Gurukul International School,Gurukul International School-STEM,STEM,,CBSE,60K-90K,301 - 500,350,1400,490000,4.90,New-25-26,Full year
88,25-26,Jan'25,South 1,Hyderabad,Direct,Thanuja,"Unicent School, Bowrampet","Unicent School, Bowrampet-Communication",Communication,,CBSE,ABOVE 120K,501-750,650,1100,715000,7.15,New-25-26,Full year
89,25-26,Jan'25,South 1,Hyderabad,Direct,Thanuja,"Unicent School, Miyapur","Unicent School, Miyapur-Communication",Communication,,CBSE,ABOVE 120K,Less than 300,300,1100,330000,3.30,New-25-26,Full year
90,25-26,Jan'25,South 2,Chennai,Direct,Gayathiri,Bethel Matriculation,Bethel Matriculation-Communication,Communication,,State Board,30K-60K,301 - 500,370,1560,577200,5.77,New-25-26,Full year
91,25-26,Jan'25,West,Mumbai,Direct,Rohit Gadre,Saraswati Vidyalaya,Saraswati Vidyalaya-Communication,Communication,,CBSE,30K-60K,751 - 1000,800,1200,960000,9.60,New-25-26,Full year
